How did serfdom develop in and then leave Russia ?	6
What films featured the character Popeye Doyle ?	1
How can I find a list of celebrities ' real names ?	6
What fowl grabs the spotlight after the Chinese Year of the Monkey ?	1
What is the full form of .com ?	2
What contemptible scoundrel stole the cork from my lunch ?	3
What team did baseball 's St. Louis Browns become ?	3
What is the oldest profession ?	3
What are liver enzymes ?	6
Name the scar-faced bounty hunter of The Old West .	3
When was Ozzy Osbourne born ?	5
Why do heavier objects travel downhill faster ?	6
Who was The Pride of the Yankees ?	3
Who killed Gandhi ?	3
What is considered the costliest disaster the insurance industry has ever faced ?	1
What sprawling U.S. state boasts the most airports ?	4
What did the only repealed amendment to the U.S. Constitution deal with ?	6
How many Jews were executed in concentration camps during WWII ?	5
What is `` Nine Inch Nails '' ?	6
What is an annotated bibliography ?	6
What is the date of Boxing Day ?	5
What articles of clothing are tokens in Monopoly ?	1
Name 11	3
What 's the Olympic motto ?	6
What is the origin of the name ` Scarlett ' ?	6
What 's the second-most-used vowel in English ?	1
Who was the inventor of silly putty ?	3
What is the highest waterfall in the United States ?	4
Name a golf course in Myrtle Beach .	1
Which two states enclose Chesapeake Bay ?	4
What does the abbreviation AIDS stand for ?	2
What does a spermologer collect ?	1
How many points make up a perfect fivepin bowling score ?	5
Which company that manufactures video-game hardware sells the `` super system '' ?	3
How many Community Chest cards are there in Monopoly ?	5
What do Mormons believe ?	6
When did the neanderthal man live ?	5
In what religion was Isis the nature goddess ?	1
Where do the adventures of `` The Swiss Family Robinson '' take place ?	4
What relative of the racoon is sometimes known as the cat-bear ?	1
How can I register my website in Yahoo for free ?	6
What was cash-conscious Colonel Edwin L. Drake the first to drill ?	1
How many people in the world speak French ?	5
How many inches over six feet is the Venus de Milo ?	5
How do they find or choose witnesses to an execution ?	6
What 1920s cowboy star rode Tony the Wonder Horse ?	3
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?	1
What ISPs exist in the Caribbean ?	3
How do you ask a total stranger out on a date ?	6
What weapon is the mythological character Apollo most proficient with ?	1
What country do the Galapagos Islands belong to ?	4
What is ethology ?	6
Who was the prophet of the Muslim people ?	3
Where did the term `` 86ed '' come from ?	6
Who is Snoopy 's arch-enemy ?	3
What is the nature of learning ?	6
What 's the only color Johnny Cash wears on stage ?	1
What 's the term for a young fox ?	1
What U.S. state lived under six flags ?	4
What is the Kashmir issue ?	6
Where is the Loop ?	4
What does `` extended definition '' mean and how would one write a paper on it ?	6
What country 's capital is Tirana ?	4
What is titanium ?	6
Who do Herb and Tootsie live next door to ?	3
Which city has the oldest relationship as a sisterðcity with Los Angeles ?	4
What is a caldera ?	6
Why do people get calluses ?	6
What are the names of the tourist attractions in Reims ?	4
What are Cushman and Wakefield known for ?	6
What body of water does the Danube River flow into ?	4
Who is the founder of Scientology ?	3
What does the six-footed Musca domestica become when it enters a house ?	1
What is the history of skateboarding ?	6
Who starred in Singing in the Rain and The Singing Nun ?	3
How do I make fuel bricks from recycled newspaper ?	6
What 19th-century painter died in the Marquesas Islands ?	3
The corpus callosum is in what part of the body ?	1
How do I log on to home page at Headquarters U.S. European Command ?	6
What country did the Nazis occupy for 1	4
What is Nebraska 's most valuable resource ?	1
How many species of the Great White shark are there ?	5
What is the origin of head lice ?	6
What is the nickname for the state of Mississippi ?	4
What was the first domesticated bird ?	1
How many villi are found in the small intestine ?	5
What country did King Wenceslas rule ?	4
What is a fear of shadows ?	1
Who were the five Marx brothers ?	3
In which year was New Zealand excluded from the ANZUS alliance ?	5
When did CNN begin broadcasting ?	5
What causes the body to shiver in cold temperatures ?	6
What are bear and bull markets ?	6
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?	1
What is `` dew point '' ?	6
What is the meaning of Jesus ?	6
What company 's logo is a `` W '' in a circle ?	3
What is the definition of a cascade ?	6
When did Rococo painting and architecture flourish ?	5
What country 's national passenger rail system is called Via ?	4
Who invented Make-up ?	3
What is the origin of the word `` attic '' ?	6
What did Delilah do to Samson 's hair ?	6
What kind of animals were in the Paleozoic era ?	1
Which of the following was Rhodes Scholar ?	3
Who comprised the now-defunct comic book team known as the Champions ?	3
How do you make a paintball ?	6
What U.S. state is Fort Knox in ?	4
What is a female rabbit called ?	1
Where is the highest point in Japan ?	4
Where do chihuahuas come from ?	6
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?	4
What are the world 's four oceans ?	4
What 's the only work by Michelangelo that bears his signature ?	1
What is the largest snake in the world ?	1
In what medium is Stuart Hamblen considered to be the first singing cowboy ?	1
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?	4
How much money does a back injury lawsuit get ?	5
What 's the common name for acetylsalicylic acid ?	1
What does the Georgetown `` Hoya '' mean ?	6
Where can I find a list of `` classic '' books 5th and 6th graders should read ?	4
Which two products use a tiger as their symbol ?	1
How is the election of a new Pope announced to the world ?	6
How long does it take for your blood to make one complete trip through the body ?	5
How do chickens have baby chicks ?	6
